# clase,Lim.inf,Lim.sup,Marc.Clase,Frec.abs,Frec.abs_acum,Frec.rel,Frec.rel_acum
1,18,23,20.5,41,41,0.009953872299101723,0.009953872299101723
2,24,29,26.5,510,551,0.12381646030589949,0.1337703326050012
3,30,35,32.5,1100,1651,0.2670551104637048,0.400825443068706
4,36,41,38.5,838,2489,0.2034474386987133,0.6042728817674192
5,42,47,44.5,627,3116,0.15222141296431171,0.7564942947317309
6,48,53,50.5,488,3604,0.11847535809662539,0.8749696528283563
7,54,59,56.5,405,4009,0.09832483612527312,0.9732944889536294
8,60,65,62.5,55,4064,0.013352755523185239,0.9866472444768146
9,66,71,68.5,23,4087,0.005583879582422918,0.9922311240592375
10,72,77,74.5,16,4103,0.0038844379703811605,0.9961155620296187
11,78,83,80.5,12,4115,0.0029133284777858705,0.9990288905074046
12,84,89,86.5,4,4119,0.0009711094925952901,0.9999999999999999
13,90,95,92.5,0,4119,0.0,0.9999999999999999
